종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2070","-10","-0.48","2060","2080","2060","1492","3089425","12088800000","5840000"
"016610","DB금융투자","KOSPI",,"5470","10","0.18","5480","5480","5350","47888","259970400","232181747830","42446389"
"005830","DB손해보험","KOSPI",,"85600","-1200","-1.38","86300","87200","85400","140774","12137111550","6060480000000","70800000"
"000990","DB하이텍","KOSPI",,"41400","-2200","-5.05","42000","43150","41000","244830","10299020200","1838101543200","44398588"
"139130","DGB금융지주","KOSPI",,"8970","20","0.22","8870","9010","8840","240201","2146341870","1492543712010","166392833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","911","6","0.66","905","919","896","31249","28387188","23010246619","25258229"
"000300","DH오토넥스","KOSPI",,"1984","0","0.00","0","0","0","0","0","161600154944","81451691"
"290120","DH오토리드","KOSDAQ","우량기업부","2270","30","1.34","2255","2270","2220","6341","14212980","35219363260","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","681","-4","-0.58","684","687","670","106010","71827851","33220013544","48781224"
"001530","DI동일","KOSPI",,"44900","-1450","-3.13","45550","46350","43000","72525","3249430500","869749773100","19370819"
"000210","DL","KOSPI",,"31900","400","1.27","31500","32100","30900","32785","1035635425","668492699600","20955884"
